"Year","Host","","Winner","Score","Runner-up","","Third place","Score","Fourth place","","Number of teams"
"1930 Details","Uruguay","Uruguay","4–2","Argentina","United States","[note 1]","Yugoslavia","13"
"1934 Details","Italy","Italy","2–1 (a.e.t.)","Czechoslovakia","Germany","3–2","Austria","16"
"1938 Details","France","Italy","4–2","Hungary","Brazil","4–2","Sweden","16/15 [note 2]"
"1950 Details","Brazil","Uruguay","[note 3]","Brazil","Sweden","[note 3]","Spain","16/13 [note 4]"
"1954 Details","Switzerland","West Germany","3–2","Hungary","Austria","3–1","Uruguay","16"
"1958 Details","Sweden","Brazil","5–2","Sweden","France","6–3","West Germany","16"
"1962 Details","Chile","Brazil","3–1","Czechoslovakia","Chile","1–0","Yugoslavia","16"
"1966 Details","England","England","4–2 (a.e.t.)","West Germany","Portugal","2–1","Soviet Union","16"
"1970 Details","Mexico","Brazil","4–1","Italy","West Germany","1–0","Uruguay","16"
"1974 Details","West Germany","West Germany","2–1","Netherlands","Poland","1–0","Brazil","16"
"1978 Details","Argentina","Argentina","3–1 (a.e.t.)","Netherlands","Brazil","2–1","Italy","16"
"1982 Details","Spain","Italy","3–1","West Germany","Poland","3–2","France","24"
"1986 Details","Mexico","Argentina","3–2","West Germany","France","4–2 (a.e.t.)","Belgium","24"
"1990 Details","Italy","West Germany","1–0","Argentina","Italy","2–1","England","24"
"1994 Details","United States","Brazil","0–0 (a.e.t.) (3–2p)","Italy","Sweden","4–0","Bulgaria","24"
"1998 Details","France","France","3–0","Brazil","Croatia","2–1","Netherlands","32"
"2002 Details","South Korea &  Japan","Brazil","2–0","Germany","Turkey","3–2","South Korea","32"
"2006 Details","Germany","Italy","1–1 (a.e.t.) (5–3p)","France","Germany","3–1","Portugal","32"
"2010 Details","South Africa","Spain","1–0 (a.e.t.)","Netherlands","Germany","3–2","Uruguay","32"
"2014 Details","Brazil","Germany","1–0 (a.e.t.)","Argentina","Netherlands","3–0","Brazil","32"
"2018 Details","Russia","Future events","Future events","32"
